siglas,state,Bernie_Sanders,Hillary_Clinton,Donald_Trump,John_Kasich,Marco_Rubio,Ted_Cruz,Ben_Carson,Democrats,Republicans
AL,Alabama,76399,309928,371735,37970,159802,180608,87517,386327,837632
AK,Alaska,440,99,7346,892,3318,7973,2401,539,21930
AZ,Arizona,163400,235697,249916,53040,0,132147,0,399097,435103
AR,Arkansas,64868,144580,133144,15098,101235,123873,23173,209448,396523
CA,California,1502043,1940580,1174829,176620,0,144125,0,3442623,1495574
CO,Colorado,71928,49256,0,0,0,0,0,121184,0
CT,Connecticut,152410,170075,123367,60481,0,24969,0,322485,208817
DE,Delaware,36659,55950,42472,14225,0,11110,0,92609,67807
FL,Florida,566603,1097400,1077221,159412,636653,403640,0,1664003,2276926
GA,Georgia,214332,543008,501707,72303,315979,305109,80503,757340,1275601
HI,Hawaii,23531,10127,5677,1413,1759,4379,0,33658,13228
ID,Idaho,18640,5065,62478,16517,35347,100942,0,23705,215284
IL,Illinois,975659,1012175,551464,279778,123066,430395,0,1987834,1384703
IN,Indiana,335256,303382,590460,83913,0,406280,0,638638,1080653
IA,Iowa,69452,69733,45419,3472,43164,51663,17393,139185,161111
KS,Kansas,26450,12593,17062,7795,12189,35207,0,39043,72253
KY,Kentucky,210626,212550,82493,33134,37579,72503,0,423176,225709
LA,Louisiana,72240,221615,124818,19355,33804,113949,0,293855,291926
ME,Maine,2201,1214,0,0,0,0,0,3415,0
MD,Maryland,281275,533247,236623,100089,0,82038,0,814522,418750
MA,Massachusetts,586716,603784,311313,113783,112822,60473,16277,1190500,614668
MI,Michigan,595222,576795,483751,321655,123673,330015,0,1172017,1259094
MS,Mississippi,36348,182447,191755,35817,20768,147065,0,218795,395405
MO,Missouri,309071,310602,382093,92533,57006,380367,0,619673,911999
MT,Montana,63168,55194,114056,10622,0,14476,0,118362,139154
NE,Nebraska,19120,14340,121287,22526,0,36418,0,33460,180231
NV,Nevada,5641,6296,34531,2709,17940,16079,3619,11937,74878
NH,New Hampshire,151584,95252,100406,44909,30032,33189,6509,246836,215045
NJ,New Jersey,323259,554237,356697,59506,0,27521,0,877496,443724
NM,New Mexico,103856,110451,73530,7870,0,13825,0,214307,95225
NY,New York,763469,1054083,524932,217904,0,126151,0,1817552,868987
NC,North Carolina,460316,616383,458151,144299,87858,418740,0,1076699,1109048
ND,North Dakota,253,101,0,0,0,0,0,354,0
OH,Ohio,513549,679266,727585,956762,59418,267592,0,1192815,2011357
OK,Oklahoma,174054,139338,130141,16515,119562,157941,28572,313392,452731
OR,Oregon,320746,251739,240804,59096,0,61590,0,572485,361490
PA,Pennsylvania,719955,918689,892702,304793,0,340201,0,1638644,1537696
RI,Rhode Island,66720,52493,39059,14929,0,6393,0,119213,60381
SC,South Carolina,95977,271514,239851,56206,165881,164790,53326,367491,680054
SD,South Dakota,25958,27046,44866,10659,0,11352,0,53004,66877
TN,Tennessee,120333,245304,332702,45243,180989,211159,64846,365637,834939
TX,Texas,475561,935080,757618,120257,502223,1239370,117780,1410641,2737248
UT,Utah,61333,15666,24864,29773,0,122567,0,76999,177204
VT,Vermont,115863,18335,19968,18543,11778,5929,2544,134198,58762
VA,Virginia,275507,503358,355960,96519,327042,173193,60093,778865,1012807
WA,Washington,19159,7140,403003,52129,0,55719,0,26299,510851
WV,West Virginia,123860,86354,156245,13685,0,18208,0,210214,188138
WI,Wisconsin,567936,432767,386370,155200,0,531129,0,1000703,1072699
WY,Wyoming,156,124,70,0,189,644,0,280,903
