statelong,Bernie Sanders,Hillary Clinton,Donald Trump,John Kasich,Marco Rubio,Ted Cruz,Ben Carson,TOTAL,state
Alabama,76399,309928,371735,37970,159802,180608,87517,1223959,AL
California,1502043,1940580,1174829,176620,0,144125,0,4938197,CA
Florida,566603,1097400,1077221,159412,636653,403640,0,3940929,FL
Georgia,214332,543008,501707,72303,315979,305109,80503,2032941,GA
Illinois,975659,1012175,551464,279778,123066,430395,0,3372537,IL
Indiana,335256,303382,590460,83913,0,406280,0,1719291,IN
Maryland,281275,533247,236623,100089,0,82038,0,1233272,MD
Massachusetts,586716,603784,311313,113783,112822,60473,16277,1805168,MA
Michigan,595222,576795,483751,321655,123673,330015,0,2431111,MI
Missouri,309071,310602,382093,92533,57006,380367,0,1531672,MS
New Jersey,323259,554237,356697,59506,0,27521,0,1321220,NJ
New York,763469,1054083,524932,217904,0,126151,0,2686539,NY
North Carolina,460316,616383,458151,144299,87858,418740,0,2185747,NC
Ohio,513549,679266,727585,956762,59418,267592,0,3204172,OH
Pennsylvania,719955,918689,892702,304793,0,340201,0,3176340,PA
South Carolina,95977,271514,239851,56206,165881,164790,53326,1047545,SC
Tennessee,120333,245304,332702,45243,180989,211159,64846,1200576,TN
Texas,475561,935080,757618,120257,502223,1239370,117780,4147889,TX
Virginia,275507,503358,355960,96519,327042,173193,60093,1791672,VA
Wisconsin,567936,432767,386370,155200,0,531129,0,2073402,WI
