fips,area_name,PST045214,EDU635213,INC910213,NES010213,PVY020213,POP060210
0,United States,318857056,86.0,28155,23005620,15.4,87.4
1000,Alabama,4849377,83.1,23680,311578,18.6,94.4
2000,Alaska,736732,91.6,32651,52991,9.9,1.2
4000,Arizona,6731484,85.7,25358,420233,17.9,56.3
5000,Arkansas,2966369,83.7,22170,191530,19.2,56.0
6000,California,38802500,81.2,29527,2983996,15.9,239.1
8000,Colorado,5355866,90.2,31109,447586,13.2,48.5
9000,Connecticut,3596677,89.2,37892,263511,10.2,738.1
10000,Delaware,935614,87.7,29819,56861,11.7,460.8
11000,District Of Columbia,658893,88.4,45290,52262,18.6,9856.5
12000,Florida,19893297,86.1,26236,1838864,16.3,350.6
13000,Georgia,10097343,84.7,25182,816360,18.2,168.4
15000,Hawaii,1419561,90.4,29305,98490,11.2,211.8
16000,Idaho,1634464,88.8,22568,115043,15.5,19.0
17000,Illinois,12880580,87.3,29666,928461,14.1,231.1
18000,Indiana,6596855,87.2,24635,390233,15.4,181.0
19000,Iowa,3107126,91.0,27027,203763,12.4,54.5
20000,Kansas,2904021,89.8,26929,190838,13.7,34.9
21000,Kentucky,4413457,83.0,23462,274987,18.8,109.9
22000,Louisiana,4649676,82.6,24442,348367,19.1,104.9
23000,Maine,1330089,91.1,26824,109260,13.6,43.1
24000,Maryland,5976407,88.7,36354,456511,9.8,594.8
25000,Massachusetts,6745408,89.4,35763,484147,11.4,839.4
26000,Michigan,9909877,88.9,25681,687136,16.8,174.8
27000,Minnesota,5457173,92.1,30913,388900,11.5,66.6
28000,Mississippi,2994079,81.5,20618,201939,22.7,63.2
29000,Missouri,6063589,87.6,25649,393292,15.5,87.1
30000,Montana,1023579,92.1,25373,84251,15.2,6.8
31000,Nebraska,1881503,90.5,26899,127427,12.8,23.8
32000,Nevada,2839099,84.6,26589,192044,15.0,24.6
33000,New Hampshire,1326813,91.8,33134,101795,8.7,147.0
34000,New Jersey,8938175,88.1,36027,629395,10.4,1195.5
35000,New Mexico,2085572,83.6,23763,119195,20.4,17.0
36000,New York,19746227,85.2,32382,1626367,15.3,411.2
37000,North Carolina,9943964,84.9,25284,679725,17.5,196.1
38000,North Dakota,739482,90.9,29732,51879,11.9,9.7
39000,Ohio,11594163,88.5,26046,745540,15.8,282.3
40000,Oklahoma,3878051,86.4,24208,266444,16.9,54.7
41000,Oregon,3970239,89.4,26809,260438,16.2,39.9
42000,Pennsylvania,12787209,88.7,28502,778528,13.3,283.9
44000,Rhode Island,1055173,85.2,30469,73758,13.6,1018.1
45000,South Carolina,4832482,84.5,23943,308746,18.1,153.9
46000,South Dakota,853175,90.4,25740,62414,14.1,10.7
47000,Tennessee,6549352,84.4,24409,470330,17.6,153.9
48000,Texas,26956958,81.2,26019,2039732,17.6,96.3
49000,Utah,2942902,90.9,23873,201838,12.7,33.6
50000,Vermont,626562,91.4,29167,59446,11.8,67.9
51000,Virginia,8326289,87.5,33493,536067,11.3,202.6
53000,Washington,7061530,90.0,30742,413446,13.4,101.2
54000,West Virginia,1850326,83.9,22966,88202,17.9,77.1
55000,Wisconsin,5757564,90.4,27523,335177,13.0,105.0
56000,Wyoming,584153,92.4,28902,46297,11.5,5.8
